#,Player,2021Salary
482,Tyler Cook ,"693,141"
483,Garrison Mathews ,"688,052"
484,Cole Aldrich ,"685,340"
485,Shaun Livingston ,"666,666"
486,Gabe Vincent ,"660,750"
487,Tacko Fall ,"653,924"
488,Max Strus ,"647,098"
489,Alize Johnson ,"621,587"
490,Anthony Tolliver ,"614,838"
491,Paul Reed ,"609,128"
492,Tim Frazier ,"597,463"
493,Juan Toscano-Anderson ,"585,668"
494,Amir Coffey ,"578,842"
495,Jared Harper ,"573,361"
496,Yogi Ferrell ,"563,131"
497,Markus Howard ,"535,294"
498,Skylar Mays ,"532,218"
499,Mamadi Diakite ,"529,341"
500,Nathan Knight ,"522,989"
501,Saben Lee ,"516,836"
502,Rondae Hollis-Jefferson ,"502,957"
503,Dakari Johnson ,"459,414"
504,Mason Jones ,"458,370"
505,Chris Chiozza ,"449,115"
505,Reggie Perry ,"449,115"
505,Nate Darling ,"449,115"
505,Grant Riller ,"449,115"
505,Devon Dotson ,"449,115"
505,Adam Mokoka ,"449,115"
505,Marques Bolden ,"449,115"
505,Tyler Bey ,"449,115"
505,Nate Hinton ,"449,115"
505,Nico Mannion ,"449,115"
505,Cassius Stanley ,"449,115"
505,Jay Scrubb ,"449,115"
505,Kostas Antetokounmpo ,"449,115"
505,Devontae Cacok ,"449,115"
505,Sean McDermott ,"449,115"
505,Killian Tillie ,"449,115"
505,Jaylen Adams ,"449,115"
505,Jordan McLaughlin ,"449,115"
505,Naji Marshall ,"449,115"
505,Josh Hall ,"449,115"
505,Ty-Shon Alexander ,"449,115"
505,Keljin Blevins ,"449,115"
505,Kyle Guy ,"449,115"
505,Keita Bates-Diop ,"449,115"
505,Quinndary Weatherspoon ,"449,115"
505,Jalen Harris ,"449,115"
505,Jarrell Brantley ,"449,115"
505,Trent Forrest ,"449,115"
505,Cassius Winston ,"449,115"
534,Noah Vonleh ,"427,725"
535,Brodric Thomas ,"412,202"
536,Andre Roberson ,"411,639"
537,Brian Bowen ,"375,321"
538,Anzejs Pasecniks ,"374,297"
539,Freddie Gillespie ,"363,015"
540,AJ Hammons ,"350,087"
541,Karim Mane ,"344,557"
542,Will Magnay ,"341,481"
543,Greg Whittington ,"332,252"
544,Donta Hall ,"297,060"
545,Raymond Spalding ,"289,156"
546,Chasson Randle ,"279,927"
547,Justin Patton ,"267,623"
548,Gary Payton II ,"237,966"
549,Anthony Lamb ,"215,330"
550,Mike James ,"198,040"
550,Justin Robinson ,"198,040"
550,Robert Franks ,"198,040"
553,Axel Toupane ,"196,872"
554,Henry Ellenson ,"168,983"
555,Ashton Hagans ,"166,111"
556,Isaiah Thomas ,"159,698"
557,John Henson ,"158,907"
558,Armoni Brooks ,"135,362"
559,Jordan Bone ,"135,350"
560,Jaylen Hoard ,"129,209"
561,Justin Anderson ,"125,000"
562,Amida Brimah ,"123,056"
562,Didi Louzada ,"123,056"
564,Troy Williams ,"122,741"
565,Cam Reynolds ,"110,998"
566,James Nunnally ,"107,674"
567,Charlie Brown ,"99,020"
568,Devin Cannady ,"95,369"
569,Demetrius Jackson ,"92,857"
570,Dakota Mathias ,"86,132"
571,Malik Fitts ,"61,528"
572,Jeremiah Martin ,"58,452"
573,Jerian Grant ,"50,000"
574,Louis King ,"49,222"
575,Frank Mason ,"39,989"
576,Tyler Hall ,"25,000"
576,Andrew White ,"25,000"
